Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Michael Tye,17/10/2025,Geelong,EXPERT TIPS,FALSE,Greyhounds,5,3,BACK,WIN,$2.00,3. Zipping Rupert ,2,,249155568,82894505,8,0,1.59,-2.00,0.00,0.00
Michael Tye,17/10/2025,Geelong,EXPERT TIPS,FALSE,Greyhounds,6,8,BACK,WIN,$1.75,8. Caco Magic ,2,,249155573,87094574,8,0,1.28,-2.00,0.00,0.00
Michael Tye,17/10/2025,Geelong,EXPERT TIPS,FALSE,Greyhounds,8,6,BACK,WIN,$2.50,6. Traumatise,2,,249155583,84661736,8,0,2.3,-2.00,0.00,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,2,7,BACK,WIN,$2.20,7. Opal Hunter,2,,249155417,59199862,8,1,2.45,2.67,2.67,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,3,9,BACK,WIN,$2.00,9. Hotly Pursued,3,BEST BET,249155420,63057820,8,0,2.24,-3.00,-3.00,-3.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,3,11,LAY,PLACE,$2.80,11. The Iron Duke,3,,249155421,66366054,8,1,2.23,-3.00,-3.00,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,4,2,BACK,WIN,$2.50,2. Swingband,2,,249155423,42549365,8,0,4.8,-2.00,-2.00,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,5,11,BACK,WIN,$6.00,11. Belly Up,1,,249155426,89943067,8,0,17.02,-1.00,-1.00,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,5,11,BACK,PLACE,$6.00,11. Belly Up,1,,249155427,89943067,8,1,4.2,2.94,0.00,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,6,12,BACK,WIN,$3.30,12. Aardiebytheseaside,1,,249155429,89943070,8,0,4,-1.00,-1.00,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,8,7,BACK,WIN,$6.00,7. Joey James,1,,249155435,36036920,8,0,14.17,-1.00,-1.00,0.00
Scott Hill,17/10/2025,Gloucester Park,EXPERT TIPS,FALSE,Harness,9,9,BACK,WIN,$1.30,9. Fakenit,5,BEST BET,249155438,87511106,8,0,1.53,-5.00,-5.00,-5.00
Will Norman,17/10/2025,Newcastle,EXPERT TIPS,FALSE,Harness,2,1,BACK,PLACE,$2.50,1. Ire Of The Dragon,2,,249152108,28211220,8,0,3.05,-2.00,-2.00,0.00
Will Norman,17/10/2025,Newcastle,EXPERT TIPS,FALSE,Harness,3,7,LAY,WIN,$3.50,7. Half Holiday,1,,249152110,69869575,8,0,3.1,0.44,0.44,0.00
Will Norman,17/10/2025,Newcastle,EXPERT TIPS,FALSE,Harness,6,7,BACK,WIN,$1.70,7. Lewie Kelly,3,BEST BET,249152119,81017093,8,0,1.57,-3.00,0.00,-3.00
Will Norman,17/10/2025,Newcastle,EXPERT TIPS,FALSE,Harness,8,4,BACK,WIN,$4.50,4. Heaven Fast,1,,249152125,89937470,8,0,4.5,-1.00,-1.00,0.00
Jackson Oldham,17/10/2025,Pakenham,EXPERT TIPS,FALSE,Thoroughbred,3,1,BACK,WIN,$3.00,1. Southern Slammer,2,BEST BET,249110069,89967025,8,0,3.93,-2.00,-2.00,-2.00
Jackson Oldham,17/10/2025,Pakenham,EXPERT TIPS,FALSE,Thoroughbred,3,5,LAY,WIN,$3.00,5. Katsumi Orochi,3,BEST BET,249110069,89967028,8,1,2.48,-3.00,-3.00,-3.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,1,8,BACK,WIN,$4.00,8. Miles Of Glory,1,,249107695,89967272,10,0,4.9,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,2,6,BACK,WIN,$3.50,6. More Felons,1,,249107704,62032863,10,0,3.8,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,4,12,BACK,WIN,$12.00,12. Polymnia,1,,249107722,89967291,10,0,20.04,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,4,10,BACK,WIN,$4.00,10. Idle Flyer,1,,249107722,71939999,10,1,3.29,2.06,0.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,4,15,BACK,WIN,$41.00,15. Lets Fly,1,,249107722,3344023,10,0,118.77,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,4,15,BACK,PLACE,$41.00,15. Lets Fly,1,,249107723,3344023,10,0,15.03,-1.00,0.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,6,5,BACK,WIN,$18.00,5. Coal Crusher,1,,249107740,41689528,10,0,24.8,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,6,5,BACK,PLACE,$18.00,5. Coal Crusher,1,,249107741,41689528,10,0,6.4,-1.00,0.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,7,5,BACK,WIN,$8.00,5. War Machine,1,,249060035,5349848,10,0,11.6,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,7,4,BACK,WIN,$10.00,4. Jimmysstar,1,,249060035,82603200,10,0,18.33,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,8,7,BACK,WIN,$9.00,7. Lord Penman,1,,249107758,87767995,10,0,13,-1.00,-1.00,0.00
The Leg Up,18/10/2025,Randwick,EXPERT TIPS,FALSE,Thoroughbred,9,4,BACK,WIN,$6.00,4. Lake Forest,1,,249107767,89018836,10,0,6.03,-1.00,-1.00,0.00
Brett & Darren Carroll,17/10/2025,Swan Hill,EXPERT TIPS,FALSE,Harness,1,8,BACK,WIN,$2.50,8. Serene Rock,2,,249152127,89922007,8,1,3.99,5.50,5.50,0.00
Brett & Darren Carroll,17/10/2025,Swan Hill,EXPERT TIPS,FALSE,Harness,3,2,BACK,WIN,$1.90,2. Angel Of Anger,2,,249152131,68417201,8,1,1.64,1.18,0.00,0.00
Brett & Darren Carroll,17/10/2025,Swan Hill,EXPERT TIPS,FALSE,Harness,6,10,BACK,WIN,$1.70,10. Alot Like Louie,3,BEST BET,249152137,88652090,8,1,1.84,2.32,2.32,2.32
Brett & Darren Carroll,17/10/2025,Swan Hill,EXPERT TIPS,FALSE,Harness,7,8,BACK,WIN,$2.00,8. Totally Stunning,2,,249152139,76098481,8,1,2.34,2.47,2.47,0.00
Mitch Lewis,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,1,7,LAY,WIN,$4.00,7. Think Of One,1,BEST BET,249107342,66365181,10,0,5.83,0.19,0.00,0.19
Mitch Lewis,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,3,3,BACK,WIN,$2.50,3. The Escape,2,BEST BET,249107352,60037677,10,0,2.2,-2.00,0.00,-2.00
The Leg Up,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,3,6,BACK,WIN,$3.50,6. Super Impressive,1,,249107352,67077263,10,0,4.87,-1.00,-1.00,0.00
The Leg Up,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,5,1,BACK,WIN,$2.50,1. Carmine,1,,249107362,88376056,10,0,2.34,-1.00,0.00,0.00
The Leg Up,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,5,8,BACK,WIN,$10.00,8. Devoted To You,1,,249107362,89966667,10,0,11.35,-1.00,-1.00,0.00
Mitch Lewis,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,6,2,BACK,WIN,$3.00,2. Barazin,2,,249107367,72200157,10,0,2.96,-2.00,0.00,0.00
Mitch Lewis,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,7,1,BACK,WIN,$2.50,1. Auzstar,2,,249107372,41408278,10,0,3.15,-2.00,-2.00,0.00
The Leg Up,17/10/2025,Taree,EXPERT TIPS,FALSE,Thoroughbred,8,1,BACK,WIN,$2.50,1. De Forza,1,,249107377,89966673,10,1,3.43,2.19,2.19,0.00
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,1,5,BACK,WIN,$13.00,5. Tough But Fair ,1,,249155950,89921614,8,0,10.2,-1.00,0.00,0.00
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,1,5,BACK,PLACE,$13.00,5. Tough But Fair ,1,,249155951,89921614,8,0,2.56,-1.00,0.00,0.00
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,3,2,BACK,WIN,$2.30,2. Texas Bandit ,2,,249155960,3731087,8,1,3.2,4.05,4.05,0.00
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,4,1,BACK,WIN,$1.65,1. Zipper On Time ,3,BEST BET,249155965,87678052,8,1,1.52,1.44,0.00,1.44
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,5,3,BACK,WIN,$2.50,3. Mepunga Smokey ,2,,249155970,57625924,8,1,2.3,2.39,0.00,0.00
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,5,1,BACK,WIN,$4.50,1. Father Rick ,2,,249155970,43256809,8,0,7.14,-2.00,-2.00,0.00
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,7,3,BACK,WIN,$1.68,3. Without A Trace,3,,249155980,3129696,8,1,2,2.76,2.76,0.00
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,8,2,LAY,WIN,$3.40,2. Eriza Sparkles,2,BEST BET,249155985,83410985,8,0,3.25,0.82,0.82,0.82
Michael Tye,17/10/2025,Wentworth Park,EXPERT TIPS,FALSE,Greyhounds,8,7,BACK,WIN,$10.00,7. Smooth Plane ,2,,249155985,62591520,8,0,11.67,-2.00,-2.00,0.00
Ryan Spice,18/10/2025,Albion Park,EXPERT TIPS,FALSE,Harness,2,1,BACK,WIN,$1.50,1. Soho Casablanca,3,BEST BET,249195974,41008500,8,0,2.04,-3.00,-3.00,-3.00
Ryan Spice,18/10/2025,Albion Park,EXPERT TIPS,FALSE,Harness,4,6,BACK,WIN,$4.00,6. Send It ,2,,249195980,28315980,8,1,3.1,3.86,0.00,0.00
Ryan Spice,18/10/2025,Albion Park,EXPERT TIPS,FALSE,Harness,4,4,BACK,WIN,$8.00,4. Miracle Moose,1,,249195980,20705385,8,0,6,-1.00,0.00,0.00
Ryan Spice,18/10/2025,Albion Park,EXPERT TIPS,FALSE,Harness,6,3,BACK,PLACE,$2.00,3. Tims A Trooper,2,,249195987,41008502,8,0,2.86,-2.00,-2.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,1,5,BACK,WIN,$4.00,Stay True,2,,249166690,27010255,6,0,8.35,-2.00,-2.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,10,2,BACK,WIN,$3.80,2. Brave Spirit,2,,249111903,3891062,8,0,5.76,-2.00,-2.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,10,10,BACK,WIN,$8.80,10. Yarralea,1,,249111903,59148079,8,0,25.12,-1.00,-1.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,2,3,BACK,WIN,$3.60,3. Just Saint James,2,,249111831,66993486,8,1,3.7,4.97,4.97,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,3,9,BACK,WIN,$4.00,Montassib,2,,249166704,35792170,6,0,14.43,-2.00,-2.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,3,8,BACK,WIN,$4.00,Lazzat,2,,249166704,65106746,6,0,3.47,-2.00,0.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,4,11,BACK,WIN,$2.65,11. Pure Excess,2,,249111849,84108073,8,0,3.4,-2.00,-2.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,4,6,BACK,WIN,$5.00,Quisisana,2,,249166712,780571,6,0,9.59,-2.00,-2.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,4,5,BACK,WIN,$6.00,One Look,1,,249166712,985524,6,0,17.02,-1.00,-1.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,5,7,BACK,WIN,$4.60,7. Otheroneson,1,,249111858,89968152,8,0,8.47,-1.00,-1.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,5,6,BACK,WIN,$5.00,Never So Brave,1,,249166719,57419600,6,0,9.36,-1.00,-1.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,5,14,BACK,WIN,$8.00,The Lion In Winter,1,,249166719,71695054,6,0,24,-1.00,-1.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,5,6,BACK,PLACE,$5.00,Never So Brave,1,,249166720,57419600,6,0,2.79,-1.00,0.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,5,14,BACK,PLACE,$8.00,The Lion In Winter,1,,249166720,71695054,6,1,5.56,4.29,0.00,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,6,2,BACK,WIN,$3.00,Calandagan,3,,249166727,58720277,6,1,3.34,6.60,6.60,0.00
Rory Flanagan,18/10/2025,Ascot,EXPERT TIPS,TRUE,Thoroughbred,6,9,BACK,WIN,$3.00,Delacroix,3,,249166727,233630,6,0,7.13,-3.00,-3.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,6,1,BACK,WIN,$4.50,1. Blazing Emerald,3,BEST BET,249111867,88612739,8,0,14.92,-3.00,-3.00,-3.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,6,1,BACK,PLACE,$4.50,1. Blazing Emerald,3,BEST BET,249111868,88612739,8,0,3.25,-3.00,0.00,-3.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,7,5,BACK,WIN,$3.60,5. Jaz Session,2,,249111876,89968158,8,0,3.71,-2.00,-2.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,7,3,BACK,WIN,$7.90,3. Sky Duke,1,,249111876,50663403,8,0,21.71,-1.00,-1.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,8,2,BACK,WIN,$3.00,2. Rope Them In,3,BEST BET,249111885,68384886,8,1,7.2,17.11,17.11,17.11
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,8,9,BACK,WIN,$3.50,9. Super Smink,1,BEST BET,249111885,52594588,8,0,3.42,-1.00,0.00,-1.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,9,5,BACK,WIN,$6.10,5. Comfort Me,1,,249111894,27831146,8,0,7.8,-1.00,-1.00,0.00
Terry Leighton,18/10/2025,Ascot,EXPERT TIPS,FALSE,Thoroughbred,9,5,BACK,PLACE,$6.10,5. Comfort Me,1,,249111895,27831146,8,1,2.17,1.08,0.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,1,5,BACK,WIN,,5. Bacash,2,,249108173,89967525,8,1,2.77,3.26,3.26,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,10,5,BACK,WIN,,5. Abounding,2,,249108344,56873237,8,1,3.23,4.10,4.10,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,10,1,BACK,WIN,$3.00,1. Miraval Rose,2,,249108344,89967564,8,0,2.8,-2.00,0.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,10,1,BACK,WIN,,1. Miraval Rose,2,,249108344,89967564,8,0,2.8,-2.00,-2.00,0.00
Ben Asgari,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,2,9,BACK,WIN,$7.00,9. Deal Done Fast,1,,249108192,87857872,8,0,12.41,-1.00,-1.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,2,6,BACK,WIN,,6. Amazake,2,,249108192,88376580,8,0,30.06,-2.00,-2.00,0.00
Ben Asgari,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,2,9,BACK,PLACE,$7.00,9. Deal Done Fast,1,,249108193,87857872,8,0,2.6,-1.00,0.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,2,6,BACK,PLACE,,6. Amazake,2,,249108193,88376580,8,1,5.63,8.52,8.52,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,3,3,BACK,WIN,,3. Just A Journey,2,,249108211,89967533,8,0,3.16,-2.00,-2.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,3,12,BACK,WIN,,12. Future Frankie,2,,249108211,89967537,8,0,16.5,-2.00,-2.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,3,12,BACK,PLACE,,12. Future Frankie,2,,249108212,89967537,8,0,4.4,-2.00,-2.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,4,3,BACK,WIN,,3. Raging Force,2,,249108230,1366782,8,0,5.39,-2.00,-2.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,4,2,BACK,WIN,$2.35,2. Tentyris,5,,249108230,80091897,8,1,2.39,6.39,6.39,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,4,2,BACK,WIN,,2. Tentyris,2,,249108230,80091897,8,1,2.39,2.56,2.56,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,5,1,BACK,WIN,$5.00,1. Austmarr,1,,249108249,65023457,8,0,8.14,-1.00,-1.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,5,9,BACK,WIN,,9. Stokke,2,,249108249,69323080,8,0,7.03,-2.00,-2.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,5,9,BACK,PLACE,,9. Stokke,2,,249108250,69323080,8,0,2.57,-2.00,-2.00,0.00
Ben Asgari,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,7,LAY,WIN,$7.00,7. Zealously,2,,249108268,70570789,8,0,3.23,0.83,0.83,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,7,BACK,WIN,,7. Zealously,2,,249108268,70570789,8,0,3.23,-2.00,-2.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,1,BACK,WIN,$5.00,1. Rey Magnerio,1,,249108268,82602693,8,1,10.5,8.74,8.74,0.00
Jackson Oldham,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,7,LAY,WIN,$3.80,7. Zealously,3,BEST BET,249108268,70570789,8,0,3.23,1.24,1.24,1.24
Tom Haylock,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,7,BACK,WIN,,7. Zealously,1,,249108268,70570789,8,0,3.23,-1.00,-1.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,1,BACK,WIN,,1. Rey Magnerio,2,,249108268,82602693,8,1,10.5,17.48,17.48,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,3,BACK,WIN,$4.00,3. Arabian Summer,1,,249108268,62558780,8,0,4.5,-1.00,-1.00,0.00
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,1,BACK,WIN,$5.90,1. Rey Magnerio,1,,249108268,82602693,8,1,10.5,8.74,8.74,0.00
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,6,1,BACK,PLACE,$5.90,1. Rey Magnerio,1,,249108269,82602693,8,1,2.23,1.13,0.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,11,BACK,WIN,,11. Chateau Eze,2,,249108287,89967552,8,0,19.5,-2.00,-2.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,3,BACK,WIN,$4.50,3. Ole Dancer,2,,249108287,89967547,8,1,6.4,9.94,9.94,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,9,BACK,WIN,,9. Ethereum Girl,2,,249108287,89967551,8,0,63.26,-2.00,-2.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,4,BACK,WIN,$7.50,4. Getta Good Feeling,1,,249108287,89967548,8,0,8.61,-1.00,-1.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,6,BACK,WIN,,6. Salty Pearl,2,,249108287,82344508,8,0,42,-2.00,-2.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,11,BACK,WIN,$11.00,11. Chateau Eze,1,,249108287,89967552,8,0,19.5,-1.00,-1.00,0.00
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,4,BACK,WIN,$6.60,4. Getta Good Feeling,2,,249108287,89967548,8,0,8.61,-2.00,-2.00,0.00
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,7,4,BACK,PLACE,$6.60,4. Getta Good Feeling,2,,249108288,89967548,8,1,2.39,2.56,0.00,0.00
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,8,2,BACK,WIN,,2. Private Eye,2,,249108306,31550681,8,1,2.1,2.02,2.02,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,8,2,BACK,WIN,$2.50,2. Private Eye,3,,249108306,31550681,8,1,2.1,3.04,0.00,0.00
Tom Haylock,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,8,2,BACK,WIN,,2. Private Eye,3,BEST BET,249108306,31550681,8,1,2.1,3.04,3.04,3.04
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,8,1,BACK,WIN,$5.40,1. Here To Shock,2,,249108306,42536814,8,0,10.67,-2.00,-2.00,0.00
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,8,1,BACK,PLACE,$5.40,1. Here To Shock,2,,249108307,42536814,8,0,2.65,-2.00,0.00,0.00
Ben Asgari,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,15,BACK,WIN,$2.50,15. Half Yours,3,BEST BET,249108325,89967560,8,1,2.7,4.69,4.69,4.69
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,15,BACK,WIN,,15. Half Yours,2,BEST BET,249108325,89967560,8,1,2.7,3.13,3.13,3.13
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,14,BACK,WIN,$8.70,14. Birdman,1,,249108325,75313893,8,0,30,-1.00,-1.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,4,BACK,WIN,$5.00,4. Meydaan,3,,249108325,89967556,8,0,17,-3.00,-3.00,0.00
Jackson Oldham,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,15,BACK,WIN,$2.45,15. Half Yours,2,BEST BET,249108325,89967560,8,1,2.7,3.13,3.13,3.13
2 UNITS,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,10,BACK,WIN,,10. Deakin,2,,249108325,89967558,8,0,13.14,-2.00,-2.00,0.00
Liam Clancey,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,8,BACK,WIN,$12.50,8. Adelaide River,1,,249108325,73991601,8,0,18.24,-1.00,-1.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,3,BACK,WIN,$10.00,3. Middle Earth,1,,249108325,1189145,8,0,19.03,-1.00,-1.00,0.00
Trent Crebbin,18/10/2025,Caulfield,EXPERT TIPS,FALSE,Thoroughbred,9,8,BACK,WIN,$17.00,8. Adelaide River,1,,249108325,73991601,8,0,18.24,-1.00,-1.00,0.00
Brett & Darren Carroll,18/10/2025,Melton,EXPERT TIPS,FALSE,Harness,3,9,BACK,WIN,$1.90,9. Soho Americano,3,BEST BET,249154350,67127532,8,1,3.15,5.93,5.93,5.93
Brett & Darren Carroll,18/10/2025,Melton,EXPERT TIPS,FALSE,Harness,8,7,BACK,WIN,$1.60,7. Kiss,2,,249154365,210441,8,0,2.41,-2.00,-2.00,0.00
Brett & Darren Carroll,18/10/2025,Melton,EXPERT TIPS,FALSE,Harness,9,7,BACK,WIN,$2.40,7. No Notthebuttons,1,,249154368,85513632,8,0,5,-1.00,-1.00,0.00
Will Norman,18/10/2025,Menangle,EXPERT TIPS,FALSE,Harness,2,10,LAY,WIN,$3.50,10. Captains Knock,1,,249192345,3652214,8,0,4.36,0.27,0.00,0.00
Will Norman,18/10/2025,Menangle,EXPERT TIPS,FALSE,Harness,3,4,BACK,WIN,$1.80,4. Gunna Reload,3,,249192348,75325810,8,1,1.88,2.43,2.43,0.00
Will Norman,18/10/2025,Menangle,EXPERT TIPS,FALSE,Harness,5,2,BACK,WIN,$4.00,2. Promising,2,,249192354,13427752,8,1,6.23,9.62,9.62,0.00
Will Norman,18/10/2025,Menangle,EXPERT TIPS,FALSE,Harness,7,1,BACK,WIN,$1.60,1. Path To Greatness,3,BEST BET,249192360,82311215,8,0,1.98,-3.00,-3.00,-3.00
Will Norman,18/10/2025,Menangle,EXPERT TIPS,FALSE,Harness,8,8,BACK,WIN,$2.20,8. Our Goat,2,,249192363,59895642,8,1,2.72,3.16,3.16,0.00
Will Norman,18/10/2025,Menangle,EXPERT TIPS,FALSE,Harness,9,7,BACK,WIN,$1.60,7. Royal Cruiser,3,,249192366,66498674,8,1,1.49,1.35,0.00,0.00
Lachlan Mosley,18/10/2025,Morphettville,EXPERT TIPS,FALSE,Thoroughbred,10,6,BACK,WIN,,6. Alainge ,2,,249110469,85981931,8,0,8.4,-2.00,-2.00,0.00
